timestamp,sexo,pais_origen,provincia_españa,compania_viaje,dias_estancia,num_empleados_activos,sat_oferta_idiomas,sat_visitas_guiadas,canal_localizacion,sat_trato_personal,sat_idioma_personal,sat_info_general,utilidad_info,sat_tiempo_espera,sat_limpieza,sat_ubicacion,sat_global,sat_horario_valoracion,volveria_usar,sat_mobiliario,sat_iluminacion,sat_folletos_contenido,sat_plano,info_previa_medio,sat_ruido,sat_folletos_idioma,edad,motivo_visita,sat_claridad_lenguaje,sat_folletos_adecuacion,sat_distribucion_espacio,sat_horario_score,instalaciones_visitadas,transporte_llegada,sat_aspecto_personal,sat_senalizacion
2024-03-20,Mujer,México,Madrid,En pareja,De 4 a 7 noches,10,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,Otros (Indicar),10,10,45-64,"Ocio, recreo y vacaciones",10,10,10,10,PIT de CentroCentro,Avión,10,10
2024-03-20,Hombre,España,Madrid,Residente,Residente,8,10,10,Los había visto anteriormente,10,10,10,10,10,9,10,10,10,Sí,9,9,10,9,No ha buscado información,1,10,45-64,Residente,10,9,9,10,PIT del Paseo del Prado,Residente,10,9
2024-03-20,Hombre,Italia,Madrid,En pareja,De 4 a 7 noches,3,10,10,Los ha encontrado en su recorrido,9,9,9,9,7,8,8,8,8,Sí,8,7,8,8,Guías turísticas publicadas sobre la ciudad,7,2,+65,"Ocio, recreo y vacaciones",9,8,8,8,Centro de Turismo de la Plaza Mayor,Avión,8,8
2024-03-20,Mujer,España,Madrid,Residente,Residente,10,10,10,Los había visto anteriormente,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,No ha buscado información,10,10,+65,Residente,10,10,10,10,Centro de Turismo de la Plaza Mayor,Residente,10,10
2024-03-20,Hombre,España,Vizcaya,Con amigos,Excursionista,5,7,10,Los ha encontrado en su recorrido,8,8,10,10,7,6,7,7,5,Sí,1,4,8,8,No ha buscado información,5,8,25-44,Tránsito,8,8,1,5,PIT del Aeropuerto T-4,Avión,8,5
2024-03-20,Mujer,España,Madrid,Residente,Residente,9,10,10,Los había visto anteriormente,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,No ha buscado información,10,10,+65,Residente,10,10,10,10,PIT Palacio Real,Residente,10,10
2024-03-20,Mujer,España,Navarra,En pareja,3 noches,10,10,10,Los ha encontrado en su recorrido,8,8,8,8,8,8,8,10,10,Sí,9,8,10,10,No ha buscado información,5,10,45-64,"Ocio, recreo y vacaciones",8,10,8,8,PIT Palacio Real,Tren,10,8
2024-03-20,Mujer,España,Barcelona,En pareja,De 4 a 7 noches,9,10,9,Los ha encontrado en su recorrido,8,8,9,9,9,10,10,10,9,Sí,10,10,10,10,No ha buscado información,10,10,45-64,"Ocio, recreo y vacaciones",9,10,10,9,PIT Palacio Real,Tren,9,10
2024-03-20,Mujer,Bulgaria,Madrid,Con amigos,3 noches,3,8,10,Los ha encontrado en su recorrido,9,9,9,9,8,8,8,8,8,Sí,8,7,8,8,No ha buscado información,7,9,25-44,"Ocio, recreo y vacaciones",9,8,7,8,Centro de Turismo de la Plaza Mayor,Avión,9,7
2024-03-20,Mujer,Francia,Madrid,Sólo,De 4 a 7 noches,9,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,9,10,10,10,Internet/web (Indicar páginas),2,10,15-24,"Ocio, recreo y vacaciones",10,10,9,10,PIT del Paseo del Prado,Avión,10,9
2024-03-20,Hombre,Estados Unidos,Madrid,Con amigos,De 1 a 2 semanas,6,8,10,Los ha encontrado en su recorrido,9,10,10,10,7,7,6,7,4,Sí,3,6,7,7,No ha buscado información,5,7,45-64,"Ocio, recreo y vacaciones",10,6,3,5,PIT del Aeropuerto T-4,Avión,10,3
2024-03-20,Mujer,España,Madrid,Residente,Residente,5,10,10,Los había visto anteriormente,10,10,10,10,5,5,10,7,10,Sí,9,9,10,10,No ha buscado información,5,10,+65,Residente,10,10,9,10,PIT Cuesta de Moyano,Residente,10,10
2024-03-20,Mujer,España,Orense,En familia,2 noches,3,10,10,Los ha encontrado en su recorrido,9,10,10,9,8,8,8,8,8,Sí,8,7,8,8,No ha buscado información,7,8,+65,"Ocio, recreo y vacaciones",10,8,8,8,Centro de Turismo de la Plaza Mayor,Coche particular,8,8
2024-03-20,Mujer,España,Santa Cruz de Tenerife,En pareja,De 4 a 7 noches,9,9,9,Los ha encontrado en su recorrido,9,9,9,9,9,8,8,8,9,Sí,9,9,9,8,Internet/web (Indicar páginas),8,8,+65,"Ocio, recreo y vacaciones",9,8,9,8,PIT del Aeropuerto T-2,Avión,9,7
2024-03-20,Hombre,Argentina,Madrid,Sólo,De 4 a 7 noches,7,8,10,Los ha encontrado en su recorrido,10,10,10,10,8,3,6,9,5,Sí,3,3,9,8,No ha buscado información,3,9,25-44,"Ocio, recreo y vacaciones",10,8,4,3,PIT del Aeropuerto T-4,Avión,10,3
2024-03-20,Hombre,España,Guipúzcoa,En pareja,1 noche,6,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,9,8,10,10,Sí,9,10,9,9,No ha buscado información,5,10,45-64,"Ocio, recreo y vacaciones",10,10,9,10,PIT del Paseo del Prado,Coche particular,10,9
2024-03-20,Mujer,España,Valencia,En familia,2 noches,3,10,10,Los había visto anteriormente,9,10,9,9,7,8,7,9,8,Sí,7,7,8,8,No ha buscado información,6,10,45-64,"Ocio, recreo y vacaciones",9,8,7,8,Centro de Turismo de la Plaza Mayor,Tren,9,7
2024-03-20,Hombre,Australia,Madrid,En pareja,De 4 a 7 noches,9,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,Internet/web (Indicar páginas),10,10,45-64,"Ocio, recreo y vacaciones",10,10,9,10,Centro de Turismo de la Plaza Mayor,Avión,10,9
2024-03-20,Hombre,España,Soria,En pareja,2 noches,8,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,9,10,10,10,Sí,9,9,10,9,No ha buscado información,2,8,+65,"Ocio, recreo y vacaciones",10,10,9,9,PIT del Paseo del Prado,Autobús,10,9
2024-03-20,Hombre,España,Madrid,Sólo,Residente,8,8,9,Los había visto anteriormente,8,8,8,8,8,7,7,8,8,Sí,9,9,8,8,No ha buscado información,7,8,45-64,Residente,7,8,9,7,PIT del Aeropuerto T-2,Coche particular,8,7
2024-03-20,Mujer,España,Madrid,Residente,Residente,3,10,9,Los había visto anteriormente,9,10,9,9,7,8,8,9,8,Sí,8,8,9,8,No ha buscado información,8,10,+65,Residente,10,9,8,8,PIT de Callao,Residente,9,8
2024-03-20,Hombre,España,Madrid,Sólo,Residente,8,8,9,Los había visto anteriormente,9,8,8,9,9,7,8,9,8,Sí,9,9,8,8,Correo postal o electrónico,7,9,25-44,Residente,9,9,9,9,PIT del Aeropuerto T-2,Residente,8,8
2024-03-20,Mujer,España,Islas Baleares,Sólo,Excursionista,5,7,10,Los había visto anteriormente,10,10,10,10,6,3,5,7,4,Sí,4,4,7,7,No ha buscado información,3,7,25-44,Tránsito,10,7,4,3,PIT del Aeropuerto T-4,Avión,10,4
2024-03-20,Mujer,España,Burgos,Con amigos,2 noches,10,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,Guías turísticas publicadas sobre la ciudad,8,10,45-64,"Ocio, recreo y vacaciones",10,10,10,10,PIT de CentroCentro,Autobús,10,9
2024-03-20,Hombre,España,Madrid,Residente,Residente,8,8,10,Los había visto anteriormente,9,9,8,8,9,9,9,9,8,Sí,9,9,9,9,No ha buscado información,5,9,45-64,Residente,9,9,9,8,PIT de Atocha,Residente,9,9
2024-03-20,Hombre,España,Murcia,En pareja,3 noches,10,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,Guías turísticas publicadas sobre la ciudad,9,10,45-64,"Ocio, recreo y vacaciones",10,10,10,10,PIT de CentroCentro,Tren,10,10
2024-03-20,Mujer,España,Madrid,Residente,Residente,8,9,10,Los había visto anteriormente,9,9,9,9,9,8,9,9,7,Sí,9,9,9,9,No ha buscado información,7,9,45-64,Residente,9,9,9,8,PIT de Atocha,Residente,9,9
2024-03-20,Mujer,España,Cuenca,En familia,Excursionista,8,7,8,Los ha encontrado en su recorrido,8,8,8,8,8,8,9,8,8,Sí,8,8,8,8,No ha buscado información,8,9,45-64,Tránsito,8,8,8,8,PIT del Aeropuerto T-2,Avión,9,9
2024-03-20,Hombre,España,Barcelona,En pareja,2 noches,7,9,10,Los ha encontrado en su recorrido,9,9,9,9,8,8,9,9,8,Sí,9,9,9,9,Internet/web (Indicar páginas),7,9,45-64,"Ocio, recreo y vacaciones",9,9,9,8,PIT de Atocha,Tren,9,9
2024-03-20,Mujer,España,Guipúzcoa,En pareja,2 noches,7,9,10,Los ha encontrado en su recorrido,9,9,9,9,8,8,9,9,7,Sí,9,9,9,9,Internet/web (Indicar páginas),8,9,45-64,"Ocio, recreo y vacaciones",9,9,9,8,PIT de Atocha,Coche particular,9,9
2024-03-20,Mujer,España,Madrid,Residente,Residente,5,10,10,Los había visto anteriormente,10,10,10,10,5,4,6,8,4,Sí,4,4,10,10,No ha buscado información,6,10,45-64,Residente,10,10,4,4,PIT del Aeropuerto T-4,Residente,10,4
2024-03-20,Mujer,España,Córdoba,En pareja,2 noches,8,8,10,Los había visto anteriormente,10,8,8,8,8,5,10,9,8,Sí,9,9,9,9,Internet/web (Indicar páginas),6,9,25-44,"Ocio, recreo y vacaciones",8,9,9,10,PIT de Callao,Tren,8,9
2024-03-20,Hombre,Estados Unidos,Madrid,En familia,3 noches,8,9,10,Los ha encontrado en su recorrido,9,9,9,9,8,8,9,8,8,Sí,9,9,9,9,Internet/web (Indicar páginas),8,9,45-64,"Ocio, recreo y vacaciones",9,9,9,8,PIT de Atocha,Avión,9,9
2024-03-20,Hombre,México,Madrid,En familia,3 noches,7,9,10,Los ha encontrado en su recorrido,9,9,9,9,8,8,9,9,8,Sí,9,9,9,9,Internet/web (Indicar páginas),8,9,45-64,"Ocio, recreo y vacaciones",9,9,9,8,PIT de Atocha,Avión,9,8
2024-03-20,Hombre,España,Cantabria,En pareja,3 noches,10,10,9,Los ha encontrado en su recorrido,9,10,9,9,10,8,10,9,10,Sí,9,9,9,9,Guías turísticas publicadas sobre la ciudad,8,9,45-64,"Ocio, recreo y vacaciones",10,9,9,8,PIT de CentroCentro,Coche particular,9,10
2024-03-20,Mujer,España,Madrid,En pareja,Residente,10,10,10,Los había visto anteriormente,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,No ha buscado información,10,10,+65,Residente,10,10,10,10,PIT de CentroCentro,Residente,10,10
2024-03-20,Mujer,México,Madrid,Con amigos,De 4 a 7 noches,10,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,Guías turísticas publicadas sobre la ciudad,10,10,45-64,"Ocio, recreo y vacaciones",10,10,10,10,PIT de CentroCentro,Avión,10,10
2024-03-20,Mujer,Francia,Madrid,En pareja,3 noches,10,10,10,Los ha encontrado en su recorrido,9,9,10,10,10,9,9,9,10,Sí,9,9,10,10,Guías turísticas publicadas sobre la ciudad,9,10,25-44,"Ocio, recreo y vacaciones",9,10,9,9,PIT de Callao,Avión,9,9
2024-03-20,Mujer,República Dominicana,Madrid,Sólo,De 1 a 2 semanas,9,10,10,Los ha encontrado en su recorrido,9,10,10,10,10,10,10,10,9,Sí,10,10,10,10,Internet/web (Indicar páginas),9,10,45-64,"Ocio, recreo y vacaciones",10,10,10,10,PIT de Callao,Avión,10,10
2024-03-20,Hombre,España,Madrid,Con amigos,Residente,10,9,10,Otros,10,10,9,10,10,10,10,10,10,Sí,10,10,10,10,No ha buscado información,10,10,25-44,Residente,10,9,9,10,PIT de Callao,Residente,10,10
2024-03-20,Hombre,Países Bajos,Madrid,En pareja,De 4 a 7 noches,10,8,10,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,10,10,9,10,No ha buscado información,10,10,45-64,"Ocio, recreo y vacaciones",10,10,10,10,Centro de Turismo de la Plaza Mayor,Avión,10,10
2024-03-20,Hombre,España,Toledo,En pareja,3 noches,9,10,9,Los ha encontrado en su recorrido,10,9,9,10,9,7,10,9,10,Sí,10,10,9,10,Otros (Indicar),10,9,45-64,Familia,7,9,9,10,PIT de Callao,Coche particular,9,9
2024-03-20,Mujer,México,Madrid,En pareja,3 noches,9,10,10,Los ha encontrado en su recorrido,10,10,10,10,9,8,10,9,10,Sí,9,9,10,10,Otros (Indicar),7,10,15-24,"Ocio, recreo y vacaciones",10,10,9,9,PIT de Callao,Avión,10,10
2024-03-20,Mujer,España,Madrid,Residente,Residente,7,10,10,Los había visto anteriormente,8,10,10,10,8,9,10,9,10,Sí,9,9,10,10,No ha buscado información,5,10,45-64,Residente,10,10,9,10,PIT Palacio Real,Residente,10,9
2024-03-20,Mujer,España,Madrid,Residente,Residente,10,10,4,Los había visto anteriormente,10,10,10,10,10,6,10,9,10,Sí,9,9,9,10,No ha buscado información,7,10,25-44,Residente,10,10,9,10,PIT Palacio Real,Residente,10,9
2024-03-20,Hombre,Brasil,Madrid,En familia,De 4 a 7 noches,10,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,9,9,10,10,Guías turísticas publicadas sobre la ciudad,10,10,25-44,Estudios,10,10,9,10,PIT Palacio Real,Avión,10,10
2024-03-20,Hombre,España,La Coruña,En pareja,3 noches,9,10,10,Los ha encontrado en su recorrido,10,10,10,9,10,10,10,10,10,Sí,8,9,9,10,No ha buscado información,9,10,45-64,"Ocio, recreo y vacaciones",10,10,9,10,PIT del Aeropuerto T-4,Avión,10,7
2024-03-20,Mujer,México,Madrid,En pareja,De 1 a 2 semanas,10,9,10,Los ha encontrado en su recorrido,9,9,9,10,9,10,10,8,10,Sí,10,10,10,10,Internet/web (Indicar páginas),9,10,45-64,Cultura,9,8,10,10,PIT de CentroCentro,Avión,8,10
2024-03-20,Mujer,España,Madrid,En pareja,Residente,9,8,10,Los ha encontrado en su recorrido,10,10,8,9,9,7,8,9,10,Sí,7,7,8,7,Internet/web (Indicar páginas),6,8,25-44,"Ocio, recreo y vacaciones",10,8,7,9,PIT Cuesta de Moyano,Autobús,8,6
2024-03-20,Mujer,Francia,Madrid,En pareja,De 1 a 2 semanas,8,10,9,Los había visto anteriormente,8,8,10,9,10,9,9,9,8,Sí,9,9,9,10,Internet/web (Indicar páginas),9,10,+65,Cultura,10,9,9,8,PIT de CentroCentro,Coche particular,7,8
2024-03-20,Mujer,España,Madrid,Sólo,Residente,8,8,9,Los había visto anteriormente,9,9,8,8,8,7,7,7,9,Sí,7,5,10,6,No ha buscado información,5,10,45-64,Residente,8,10,7,8,PIT Cuesta de Moyano,Residente,9,7
2024-03-20,Mujer,España,Madrid,Sólo,Residente,9,9,7,Tenía información previa de su ubicación,10,10,10,10,9,8,9,10,10,Sí,8,9,10,8,No ha buscado información,7,10,45-64,"Ocio, recreo y vacaciones",10,9,8,10,PIT Cuesta de Moyano,Tren,8,9
2024-03-20,Mujer,España,Barcelona,Con amigos,1 noche,9,10,9,Los ha encontrado en su recorrido,9,10,9,9,8,8,10,9,10,Sí,8,8,10,10,Teléfono,7,10,45-64,"Ocio, recreo y vacaciones",10,10,8,9,PIT Cuesta de Moyano,Tren,8,7
2024-03-20,Hombre,España,Madrid,Sólo,Residente,9,9,9,Los había visto anteriormente,10,10,10,10,9,7,8,9,8,Sí,8,8,9,9,No ha buscado información,1,9,25-44,Residente,10,9,7,7,PIT de Estadio Santiago Bernabéu,Residente,10,8
2024-03-20,Mujer,Estados Unidos,Madrid,En familia,2 noches,8,10,9,Los ha encontrado en su recorrido,9,8,9,9,9,8,8,9,9,Sí,8,9,8,8,Teléfono,7,10,25-44,"Ocio, recreo y vacaciones",8,8,7,9,PIT Cuesta de Moyano,Tren,8,7
2024-03-20,Mujer,España,Tarragona,Sólo,De 4 a 7 noches,8,8,9,Los había visto anteriormente,9,9,9,9,8,10,9,9,8,Sí,9,9,9,9,No ha buscado información,10,9,+65,"Ocio, recreo y vacaciones",9,9,9,7,PIT de Estadio Santiago Bernabéu,Tren,9,10
2024-03-20,Mujer,España,Madrid,Sólo,Residente,6,10,8,Los ha encontrado en su recorrido,10,10,8,8,8,10,8,8,10,Sí,8,8,8,10,No ha buscado información,8,10,+65,Residente,10,8,8,10,PIT Palacio Real,Residente,8,8
2024-03-20,Mujer,Argentina,Madrid,En pareja,De 2 semanas a 1 mes,10,10,8,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,Otros (Indicar),8,10,45-64,Familia,10,10,10,10,PIT de Estadio Santiago Bernabéu,Avión,10,10
2024-03-20,Hombre,España,Madrid,En familia,Residente,10,10,10,Los ha encontrado en su recorrido,9,10,10,10,9,10,10,10,10,Sí,9,9,9,10,No ha buscado información,10,10,45-64,Residente,10,10,9,9,PIT del Aeropuerto T-4,Residente,10,9
2024-03-20,Hombre,España,Madrid,Sólo,1 noche,8,10,10,Los ha encontrado en su recorrido,10,10,10,9,10,10,10,10,10,Sí,9,9,9,10,No ha buscado información,9,10,25-44,Tránsito,10,10,9,10,PIT del Aeropuerto T-4,Avión,10,6
2024-03-20,Hombre,Colombia,Madrid,En pareja,De 4 a 7 noches,1,10,10,Los ha encontrado en su recorrido,10,10,10,10,1,10,10,8,10,Sí,10,9,10,10,Otros (Indicar),9,10,45-64,"Ocio, recreo y vacaciones",10,10,10,10,Centro de Turismo de la Plaza Mayor,Coche particular,10,8
2024-03-20,Mujer,Brasil,Madrid,En familia,De 2 semanas a 1 mes,10,10,10,Los ha encontrado en su recorrido,10,9,10,10,9,10,10,10,10,Sí,9,9,9,9,No ha buscado información,9,10,45-64,"Ocio, recreo y vacaciones",10,10,9,9,PIT del Aeropuerto T-4,Avión,10,9
2024-03-20,Mujer,Italia,Madrid,En pareja,3 noches,8,8,10,Los ha encontrado en su recorrido,9,9,9,9,9,8,9,9,8,Sí,9,9,9,9,Otros (Indicar),8,9,45-64,"Ocio, recreo y vacaciones",9,9,9,8,PIT de Atocha,Avión,9,9
2024-03-20,Mujer,España,Jaén,Sólo,Excursionista,9,8,8,Los ha encontrado en su recorrido,9,10,9,9,9,9,9,9,9,Sí,8,8,9,9,Teléfono,6,10,45-64,Negocios,10,9,8,9,PIT Cuesta de Moyano,Tren,8,8
2024-03-20,Hombre,Francia,Madrid,En pareja,2 noches,7,8,10,Los ha encontrado en su recorrido,9,9,9,9,8,8,8,9,8,Sí,9,9,9,9,Internet/web (Indicar páginas),8,7,+65,"Ocio, recreo y vacaciones",9,9,9,8,PIT de Atocha,Avión,9,9
2024-03-20,Mujer,España,Madrid,Residente,Residente,5,10,10,Los había visto anteriormente,10,10,1,1,5,8,10,7,10,Sí,10,10,9,10,No ha buscado información,6,5,45-64,Residente,10,1,10,10,PIT Palacio Real,Residente,10,10
2024-03-20,Mujer,España,Navarra,En pareja,2 noches,8,10,10,Los había visto anteriormente,10,10,10,10,8,10,10,10,10,Sí,10,10,10,10,No ha buscado información,9,10,25-44,"Ocio, recreo y vacaciones",10,10,10,10,Centro de Turismo de la Plaza Mayor,Coche particular,10,8
2024-03-20,Hombre,Marruecos,Madrid,En pareja,1 noche,9,10,10,Los había visto anteriormente,10,10,10,10,10,10,10,10,10,Sí,9,9,9,10,No ha buscado información,9,10,25-44,Tránsito,10,10,9,10,PIT del Aeropuerto T-4,Avión,10,9
2024-03-20,Mujer,Argentina,Madrid,Sólo,1 noche,8,9,10,Los ha encontrado en su recorrido,9,10,9,9,9,7,9,9,9,Sí,7,8,9,9,Internet/web (Indicar páginas),7,10,25-44,"Ocio, recreo y vacaciones",9,9,8,9,PIT Cuesta de Moyano,Tren,9,7
2024-03-20,Hombre,España,Madrid,Residente,Residente,10,10,10,Los había visto anteriormente,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,No ha buscado información,10,10,45-64,Residente,10,10,10,10,PIT de Estadio Santiago Bernabéu,Residente,10,10
2024-03-20,Hombre,México,Madrid,En familia,De 1 a 2 semanas,10,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,7,8,10,10,Sí,8,8,10,10,Otros (Indicar),6,10,45-64,"Ocio, recreo y vacaciones",10,10,8,8,PIT de Estadio Santiago Bernabéu,Avión,10,8
2024-03-20,Mujer,España,Ciudad Real,En familia,Excursionista,7,10,10,Los había visto anteriormente,10,10,10,10,7,10,10,10,10,Sí,10,10,9,10,No ha buscado información,10,10,+65,Cultura,10,10,10,10,PIT Palacio Real,Tren,10,10
2024-03-20,Hombre,Italia,Madrid,En pareja,3 noches,1,8,10,Los ha encontrado en su recorrido,8,8,8,8,7,7,8,7,8,Sí,9,9,6,8,No ha buscado información,5,3,25-44,"Ocio, recreo y vacaciones",8,8,9,8,PIT del Aeropuerto T-2,Avión,8,8
2024-03-20,Mujer,España,Vizcaya,En pareja,De 4 a 7 noches,10,10,10,Tenía información previa de su ubicación,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,Guías turísticas publicadas sobre la ciudad,10,10,45-64,Familia,10,10,10,10,PIT de Estadio Santiago Bernabéu,Coche particular,10,10
